bin_selection,time,x,xerr,x2,xerr2,n,v,verr,diodes_diode,diodes_diodeerr,diodes_m2,diodes_m2err,y,yerr
1,77690264.20126957,13002.729468093345,6.244739042632259e-05,12816.47110302464,3.4085091185641548e-06,526.0,39991.46815912525,0.009387545080015946,0.053657770823927475,0.0011770414151518382,0.02270644635845062,0.03241644467996705,88.0,9.38083151964686
2,77690260.32664126,13002.729674689383,5.671742102702621e-05,12816.471102195463,2.952502598323598e-06,489.0,39991.44590184016,0.033810867655928716,0.05691213095663264,0.001806727254286305,0.023817993193066704,0.031419033233101815,57.0,7.54983443527075
3,77690256.57606483,13002.729870340861,5.537914940431628e-05,12816.471102938514,3.072740613509407e-06,497.0,39991.40257444676,0.011612235049777875,0.060334209956207904,0.002115645898778678,0.025294216575734014,0.031018437514342304,82.0,9.055385138137417
4,77690252.77701038,13002.730080893676,6.190889980681932e-05,12816.471100850224,2.9794315144202206e-06,497.0,39991.35319999981,0.0,0.06549583186794308,0.0021162459867418815,0.023300780873909053,0.03147717515623489,70.0,8.366600265340756
5,77690249.13540436,13002.730271830691,5.8432160388527274e-05,12816.471102242935,3.98322203475549e-06,459.0,39991.36941176447,0.010806869116217024,0.07062089878470425,0.002534972490452808,0.028282073186428974,0.030332844705984425,65.0,8.06225774829855
6,77690245.50747108,13002.73046633768,5.6536907703137835e-05,12816.471101462626,2.1546317660298942e-06,503.0,39991.38286719668,0.00971602864295921,0.07760078201854805,0.0025298226596704707,0.024225819653609586,0.03334549005642985,87.0,9.327379053088816
7,77690241.54132526,13002.73067090447,5.27496437927157e-05,12816.471103245074,3.3908959222360264e-06,529.0,39991.396899622116,0.005335181953000633,0.08615962102814811,0.0030828258444044695,0.026327914394838905,0.02936699441151656,82.0,9.055385138137417
8,77690237.47647041,13002.73087857755,5.9712769967776597e-05,12816.47110258951,2.9696782407526014e-06,544.0,39991.36850000031,0.0,0.09724433083179156,0.004132881062321424,0.031021142097402542,0.03201045946067149,107.0,10.344080432788601
9,77690233.5172324,13002.731080692349,5.4793680523018154e-05,12816.47110246261,3.6158217772204262e-06,493.0,39991.359551116024,0.0046882121374042665,0.10805129953452254,0.004240397627724097,0.030226964322398894,0.03202817101247849,64.0,8.0
10,77690229.75675514,13002.73126860482,6.253241053885159e-05,12816.471101822006,4.913142326369327e-06,490.0,39991.33606204099,0.024623810674419717,0.12086358513551268,0.004778257388123285,0.030290323908022426,0.031098178683170486,63.0,7.937253933193772
11,77690226.12081578,13002.731474664031,5.832324557112868e-05,12816.471103147067,3.98889484878707e-06,457.0,39991.307441794306,0.00151061429349337,0.13402034552431288,0.005198310966251777,0.03171659655211715,0.030513376963172932,73.0,8.54400374531753
12,77690222.4912811,13002.731680567133,6.04636204305372e-05,12816.471100347964,3.88217554585281e-06,490.0,39991.32349999995,0.0,0.14569781049123076,0.0036312092821402103,0.03160134541983314,0.03105679534428504,42.0,6.48074069840786
13,77690218.69398153,13002.731868847804,5.779460047033034e-05,12816.471100164004,4.429230545696855e-06,499.0,39991.38379639283,0.04299991299583792,0.15736421496049674,0.0036849642736704077,0.033495322984298456,0.03238520920184136,82.0,9.055385138137417
14,77690214.74178763,13002.732071875436,6.131490407807736e-05,12816.471104848715,3.0869608763973468e-06,526.0,39991.41240836509,0.002607901266616185,0.16472859754527025,0.0030976414850200805,0.0296990256103085,0.030692403271903562,66.0,8.12403840463596
15,77690210.83282031,13002.73227567033,5.963183107611957e-05,12816.471103760594,3.5046501484982333e-06,496.0,39991.41087741963,0.008334218989557544,0.1675358078132405,0.002181845724933425,0.03423886050284451,0.03084892817866961,94.0,9.695359714832659
16,77690207.20614184,13002.73246814569,5.483924372543224e-05,12816.471102319603,6.330413415671716e-06,455.0,39991.44779999967,0.0,0.1620514734382526,0.0038468693204566653,0.03562374262835417,0.030787045565569927,80.0,8.94427190999916
