bin_selection,time,x,xerr,x2,xerr2,n,v,verr,diodes_diode,diodes_diodeerr,diodes_m2,diodes_m2err,y,yerr
11,77683742.79869378,13002.731487774183,5.910781371019513e-05,12816.471106686522,5.2104646018326115e-06,511.0,39991.56282876716,0.019781335393338022,0.1328935175018953,0.005255511336462131,0.02936678153345239,0.030722922764729415,37.0,6.082762530298219
12,77683738.83901472,13002.731685097766,5.887901677200705e-05,12816.471106578694,4.067605112012394e-06,515.0,39991.507599999764,0.0,0.14921824281492696,0.003339145872366588,0.030439336372106045,0.03279262215779063,37.0,6.082762530298219
13,77683735.1617992,13002.73188739248,5.131258942034091e-05,12816.47110674929,4.869392897508057e-06,453.0,39991.52741810168,0.009947371644494314,0.15726864424416012,0.0036678324153341805,0.03700655937186469,0.031333952460514104,42.0,6.48074069840786
14,77683731.4429291,13002.73208792805,6.326298366679748e-05,12816.47110523039,4.555553423877104e-06,510.0,39991.490779216234,0.04959419248679897,0.16554526293342153,0.0024589248936006903,0.0326439446871475,0.03213941665948665,60.0,7.745966692414834
15,77683727.77283733,13002.732285637921,5.940151879098477e-05,12816.471107831412,3.5113509932313577e-06,446.0,39991.43180000026,0.0,0.16721410112236673,0.0025158727620968654,0.03636112123623398,0.033827925203576234,60.0,7.745966692414834
16,77683724.06297715,13002.732483585383,6.132265354640557e-05,12816.471105412687,3.9386703392441456e-06,521.0,39991.58017927036,0.017332367238188307,0.16477626880723167,0.003944834134085198,0.030366956156685793,0.03008090344345029,36.0,6.0
17,77683720.0827065,13002.732689798739,5.4323597092647e-05,12816.471104144786,4.531420952562442e-06,522.0,39991.54812950172,0.021250902451189626,0.1544629563708661,0.004303961492995839,0.0372964044688213,0.02982452098489713,41.0,6.4031242374328485
18,77683716.23932761,13002.732881734733,5.272320832039758e-05,12816.471106357447,3.25992838207427e-06,483.0,39991.53143830227,0.004303246257987921,0.14506849446454778,0.00515325022669535,0.0354782359701343,0.031226603669631578,83.0,9.1104335791443
19,77683712.39152296,13002.733085309312,5.381915359344476e-05,12816.47110657867,4.60387947803508e-06,522.0,39991.52328180068,0.008967800914406014,0.13291362137670437,0.004632779806217094,0.03183187942716129,0.031060225710559147,49.0,7.0
20,77683708.26864754,13002.733278778816,5.709614487097905e-05,12816.471106842635,4.694126951062092e-06,556.0,39991.49480000024,0.0,0.12176709985772004,0.002613836366948253,0.02412513692455202,0.031936585933941525,55.0,7.416198487095663
